name,categories
Uncle Si's Pizza,"Pizza,Restaurant,American Restaurants,Caterers,American restaurants,Italian restaurants,Take Out Restaurants,Fast Food Restaurants,Pizza Place,Restaurants,Sandwich Shops,Italian Restaurants"
QDOBA Mexican Eats,"Grill Restaurants,Mexican Restaurants,Mexican,Bar & Grill Restaurants,Tex-mex restaurants,Southwestern restaurants,Breakfast & Brunch Restaurants,Food Delivery,Fast Food Restaurants,Take Out Restaurants,Fast Food,Restaurants,Brunch,Catering"
Domino's Pizza,"Pizza,Food Delivery,Take Out Restaurants,Fast Food Restaurants,Pizza Place,Restaurants"
KFC,"Carry-out food,Caterers,Fried Chicken Joint,Barbecued poultry,Fast Food Restaurant,American restaurants,Barbecue,Spare rib restaurants,Catering,Chicken restaurants,Restaurants"
KFC,"Carry-out food,Caterers,Fried Chicken Joint,Tex-mex restaurants,Southwestern restaurants,American restaurants,Mexican restaurants,Restaurants,Fast Food Restaurant and Mexican Restaurant West Carmel Center,Restaurant,Barbecued poultry,Fast Food Restaurant,Barbecue,Spare rib restaurants,Chicken restaurants,Fried Chicken Joint West Carmel Center"
Pizza Hut,"Carry-out food,Caterers,Restaurant delivery service,American restaurants,Take Out Restaurants,Fast Food Restaurants,Karaoke,Home delivery beer and beverages,Family Style Restaurants,Restaurants,Pizza,Restaurant,Barbecued poultry,Barbecue,Spare rib restaurants,Catering,Chicken restaurants"
Pizza Hut,"Carry-out food,Caterers,Restaurant delivery service,American restaurants,Karaoke,Take Out Restaurants,Fast Food Restaurants,Home delivery beer and beverages,Family Style Restaurants,Restaurants,Pizza,Restaurant,Pizza Place"
Pizza Hut,"Carry-out food,Caterers,Restaurant delivery service,American restaurants,Karaoke,Take Out Restaurants,Fast Food Restaurants,Home delivery beer and beverages,Family Style Restaurants,Restaurants,Pizza,Restaurant,Pizza Place"
Jimmy John's,"Carry-out food,Caterers,Restaurant delivery service,Delicatessens,American restaurants,Home delivery beer and beverages,Restaurants,Delis And Delicatessens,Restaurant,Fast Food Restaurant,wich Place,Sandwiches,Sandwich Place"
Wok N Roll,"Carry Out Food,Asian Restaurants,Japanese Restaurants,Chinese Restaurants,Fast Food Restaurants,Take Out Restaurants,Sushi Bars,Restaurants"
KFC,"Carry-out food,Restaurant,Caterers,Fried Chicken Joint,Barbecued poultry,Fast Food Restaurant,American restaurants,Barbecue,Spare rib restaurants,Chicken restaurants,Catering,Restaurants"
KFC,"Carry-out food,Restaurant,Caterers,Barbecued poultry,American restaurants,Barbecue,Spare rib restaurants,Chicken restaurants,Catering,Fried Chicken Joint and Fast Food Restaurant,Restaurants"
SUBWAY,"Delis And Delicatessens,Carry-out food,Caterers,Delicatessens,Fast Food Restaurant,American restaurants,Karaoke,Sandwiches,Sandwich Place,Catering,Restaurants,Sandwich Shops"
SUBWAY,"Carry-out food,Caterers,Delicatessens,American restaurants,Take Out Restaurants,Fast Food Restaurants,Karaoke,Restaurants,Restaurant,wich Place,Sandwiches,Sandwich Place,Sandwich Shops"
SUBWAY,"Delis And Delicatessens,Restaurant,Take Out Restaurants,Fast Food Restaurants,Restaurants,Sandwich Shops"
McDonald's,"Ice Cream Parlors,Carry-out food,Breakfast,Hot dog restaurants,American restaurants,Hamburger restaurants,Fast Food,Fast Food Restaurants,Take Out Restaurants,Karaoke,Restaurants,Frozen Yogurt Shops,Burger Joint,Fast Food Restaurant,Coffeehouses,Salads,Hamburgers,Hamburgers and Hot Dogs,Sandwich Shops"
Sonic Drive-In,"Fast Food,Soda Fountain Shops,Chicken,Hamburgers,Restaurants"
Subway,"Delis And Delicatessens,Restaurant,American Restaurants,Ocala Restaurants,wich Place,Take Out Restaurants,Fast Food Restaurants,Sandwich Place,Restaurants,Sandwich Shops"
Burger King,Fast Food
Firehouse Subs,"Carry-out food,Caterers,Delicatessens,American restaurants,Karaoke,Take Out Restaurants,Fast Food Restaurants,Restaurants,Delis And Delicatessens,Restaurant,wich Place,Sandwiches,Catering,Food,Sandwich Shops"
Hardee's,"Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants"
Pizza Hut,"Pizza,Restaurant,Italian,Chicken Wings,Food Delivery,Take Out Restaurants,Fast Food,Pizza Place,Catering,Restaurants"
Burger King,Fast Food
Wendy's,Fast Food
Taco Bell,"Carry-out food,Mexican,Breakfast,Tex-mex restaurants,Vegetarian,Southwestern restaurants,American restaurants,Mexican restaurants,Fast Food,Karaoke,Restaurants,Mexican Restaurant,Restaurant,Fast Food Restaurant"
Wendy's,Fast Food
Wendy's,"Burger Joint,Fast Food Restaurant,Restaurants"
McDonald's,"Ice Cream Parlors,Restaurant,Breakfast,Fast Food Restaurant,Fast Food,Coffeehouses,Salads,Hamburgers,Restaurants,Frozen Yogurt Shops,Sandwich Shops"
Dairy Queen,"Restaurant,Carry-out food,Fast Food Restaurant,Ice cream parlors,American restaurants,Karaoke,Ice Cream Store,Restaurants,Ice Cream Shop,Dessert Shop"
Dairy Queen,"Ice Cream Parlors,Natural food restaurants,Carry-out food,American restaurants,Ice cream parlors,Ice Cream Store,Restaurants,Ice Cream Shop,Juice bars,Vegetarian restaurants,Fast Food Restaurant,Ice cream and frozen desserts-retail,Health food restaurants"
Rice House Of Kabob,"Natural food restaurants,Middle Eastern Restaurant,Seafood restaurants,American restaurants,Restaurants,Mediterranean Restaurant,Juice bars,Restaurant,Vegetarian restaurants,Fast Food Restaurant,New american restaurants,Health food restaurants,Fusion restaurants,Middle eastern restaurants,Mediterranean restaurants"
Burger King,"Fast Food,Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants"
KFC,"Carry-out food,Caterers,Fried Chicken Joint,Tex-mex restaurants,Southwestern restaurants,American restaurants,Mexican restaurants,Karaoke,Restaurant mgmt.,Restaurants,Restaurant consultants,Barbecued poultry,Fast Food Restaurant,Barbecue,Spare rib restaurants,Catering,Chicken restaurants"
Eatin Fresh,"American Restaurants,Caribbean Restaurants,Carry-out food,Caterers,Cuban Restaurants,Restaurant delivery service,Seafood Restaurants,Take Out Restaurants,Fast Food Restaurants,Home delivery beer and beverages,Take out restaurants,Restaurants"
SUBWAY,"Delis And Delicatessens,Carry-out food,Delicatessens,Take Out Restaurants,Fast Food Restaurants,Sandwiches,Sandwich Place,Restaurants,Sandwich Shops"
Subway,"Delis And Delicatessens,Carry-out food,Delicatessens,Take Out Restaurants,Fast Food Restaurants,Karaoke,Sandwiches,Restaurants,Sandwich Shops"
Dairy Queen Grill & Chill,"Ice Cream Parlors,Fast Food"
Seminole Subs Gyros,"Natural food restaurants,Caterers,Delicatessens,Seafood restaurants,American restaurants,Fast Food Restaurants,Take Out Restaurants,Karaoke,Restaurants,Delis And Delicatessens,Juice bars,Restaurant,Vegetarian restaurants,Turkish restaurants,Mediterranean Restaurants,Armenian restaurants,Italian restaurants,New american restaurants,Health food restaurants,Fusion restaurants,Greek restaurants,Sandwich Shops,Mediterranean restaurants"
Seminole Subs Gyros,"Natural food restaurants,International restaurants,Caterers,Delicatessens,Seafood restaurants,American restaurants,Fast Food Restaurants,Take Out Restaurants,Karaoke,Restaurants,Delis And Delicatessens,Juice bars,Vegetarian restaurants,Turkish restaurants,Mediterranean Restaurants,Armenian restaurants,Italian restaurants,New american restaurants,Health food restaurants,Fusion restaurants,Greek restaurants,Sandwich Shops,Mediterranean restaurants"
Demetrios Pizza House,"Italian Restaurant,International restaurants,Caterers,American restaurants,Breakfast Brunch and Lunch Restaurants,,Karaoke,Take Out Restaurants,Fast Food Restaurants,Family Style Restaurants,Restaurants,Restaurant Menus,Italian Restaurants,Pizza,Turkish restaurants,Pizza Place and Italian Restaurant,Family style restaurants,Armenian restaurants,Italian restaurants,Pizza Place,Greek restaurants,Catering,Mediterranean restaurants"
Peacock Restaurant,"Asian Restaurants,Carry-out food,Chinese Restaurants,Indian restaurants,American restaurants,Take Out Restaurants,Fast Food Restaurants,Karaoke,Restaurants,Chinese restaurants"
Speedy Burritos,"Mexican Restaurant,Mexican Restaurants,Fast Food Restaurants,Restaurants"
Sonic Drive-In,"Fast Food Restaurants,American Restaurants,Chicken Restaurants,Hamburgers and Hot Dogs,Hot Dog Stands and Restaurants,Restaurants,Take Out Restaurants"
Burger King,"Fast Food Restaurant,Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants"
Greenery Cafe,"Caterers,Restaurant delivery service,African restaurants,Soul food restaurants,Coffee and Espresso Restaurants,American restaurants,Take Out Restaurants,Fast Food Restaurants,Health Food Restaurants,Karaoke,Home delivery beer and beverages,Restaurants,Coffee house and espresso bar restaurants,Coffee Shops,Restaurant,Vegetarian Restaurants,Sandwich Shops"
Cheeseburger In Paradise,"Hot dog restaurants,American restaurants,Hamburger restaurants,Fast Food Restaurants,Take Out Restaurants,Karaoke,Family Style Restaurants,Restaurants,Cocktail lounges,Burger Joint,Restaurant,Bar,Bar and Grills,Hamburgers,Hamburgers and Hot Dogs,Lounges"
Taco Bell,"Mexican,Breakfast,Vegetarian,Fast Food,Restaurants"
McDonald's,"Ice Cream Parlors,Carry-out food,Breakfast,Hot dog restaurants,Hamburger restaurants,Fast Food,Coffeehouses,Salads,Fast food restaurants,Hamburgers,Restaurants,Sandwich Shops"
KFC,"Restaurant,Fried Chicken Joint,Fast Food Restaurant,Fast Food,Chicken,Restaurants"
Homegrown,"Caterers,Delicatessens,American,Coffee and Espresso Restaurants,Ovo,Non-veg,Restaurants,Coffee Shops,Take-out,Lacto,Fast food,Catering,Sandwich Shops"
Keoki's,"Carry-out food,Caterers,Polynesian restaurants,Hot dog restaurants,Hamburger restaurants,Take Out Restaurants,Fast Food Restaurants,Restaurants,Hawaiian Restaurants,Restaurant,American Restaurants,Soda fountain shops,Hamburgers and Hot Dogs,Catering"
Chun Wah Kam Noodle Factory,"Caterers,Chinese Restaurants,Importers,Indonesian restaurants,Party Planners,American restaurants,Fast Food Restaurants,Wholesale Importers,Restaurants,Asian Restaurants,Restaurant,Pasta,Asian restaurants,Noodles"
Domino's Pizza,"Pizza,Pizza Place Bixby Knolls,Restaurant,Food Delivery,Fast Food,Fast Food Restaurants,Take Out Restaurants,Pizza Place,Restaurants"
Moe's Southwest Grill,"American Restaurants,Carry-out food,Mexican Restaurants,Caterers,Tex-mex restaurants,Southwestern restaurants,Family style restaurants,American restaurants,Mexican restaurants,Take Out Restaurants,Fast Food Restaurants,Restaurants"
McDonald's,"Ice Cream Parlors,Breakfast,American,Fast Food,Fast Food Restaurants,Take Out Restaurants,Restaurants,Restaurant,Fast Food Restaurant,Coffeehouses,Salads,Hamburgers and Hot Dogs,Hamburgers,Sandwich Shops"
Taco John's,"Fast Food Restaurants,Mexican Restaurants,Restaurants,Take Out Restaurants"
Panera Bread,"Breakfast,Fast Food,Health Food Restaurants,Take Out Restaurants,Bagel Shops,Restaurants,Restaurant,American Restaurants,Coffee Shops,Traditional American,Coffeehouses,Bakeries,Catering,Sandwich Shops"
Tatanka Take-Out,"Fast Food Restaurants,American Restaurants,Hamburgers and Hot Dogs,Health Food Restaurants,Hot Dog Stands and Restaurants,Latin American Restaurants,Mexican Restaurants,Restaurants,Sandwich Shops,Take Out Restaurants,Vegan Restaurants"
TacoTime,"Mexican Restaurant,Restaurant,Carry-out food,Mexican Restaurants,Tex-mex restaurants,Southwestern restaurants,American restaurants,Family style restaurants,Mexican restaurants,Fast Food Restaurants,Restaurants"
Dexter's Drive-In,"Pizza,Burger Joint,Carry-out food,Restaurant,American Restaurants,American restaurants,Take Out Restaurants,Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants"
Krystal,"Burger Joint,Restaurant,Fast Food Restaurant,Fast Food Restaurants,Fast Food,Hamburgers and Hot Dogs,Hamburgers,Restaurants"
Manchu Wok,"Chinese Restaurants,Asian Restaurants,Fast Food Restaurants"
Firehouse Subs,"Carry-out food,Caterers,Delicatessens,American restaurants,Fast Food Restaurants,Take Out Restaurants,Sandwiches,Restaurants,Opticians,Sandwich Shops"
Jersey Mike's Subs,"Carry-out food,Caterers,Delicatessens,American restaurants,Take Out Restaurants,Fast Food Restaurants,Sandwiches,Restaurants,Sandwich Shops"
Burger King,"Restaurant,Hot dog restaurants,Fast Food Restaurant,Hamburger restaurants,Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants"
Subway,"Delis And Delicatessens,Carry-out food,Restaurant,Delicatessens,American restaurants,Fast Food Restaurants,Take Out Restaurants,Sandwiches,Restaurants,Sandwich Shops"
Bethel Square Restaurant Lounge,"American Restaurants,Bar & Grills,Bar and Grills,Take Out Restaurants,Fast Food Restaurants,Family Style Restaurants,Hamburgers and Hot Dogs,Restaurants,Bars,Sandwich Shops"
Ray's Drive In Restaurant,"Natural food restaurants,Carry-out food,Hot dog restaurants,American restaurants,Hamburger restaurants,Take Out Restaurants,Fast Food Restaurants,Health Food Restaurants,Restaurants,Juice bars,Hamburgers & Hot Dogs,American Restaurants,Seafood Restaurants,Vegetarian restaurants,Restaurants-breakfast and diners,Health food restaurants,Hamburgers and Hot Dogs,Vegetarian Restaurants,Sandwich Shops"
Bob's Burger Brew,"Hot dog restaurants,Seafood restaurants,Taverns,American restaurants,Hamburger restaurants,Fast Food Restaurants,Restaurants,American Restaurants,Seafood Restaurants,Bars Pubs,Bar and grill restaurants,Hamburgers and Hot Dogs,Bars,Sandwich Shops"
Bob's Burgers Brew,"Carry-out food,Hot dog restaurants,Takeout,Seafood restaurants,American Restaurant,American restaurants,Hamburger restaurants,Breakfast Brunch and Lunch Restaurants,,Fast Food Restaurants,Take Out Restaurants,Restaurants,Buffet Restaurants,Burger Joint,American Restaurants,Seafood Restaurants,Bar and Grills,Bar and grill restaurants,Hamburgers and Hot Dogs,Bars,Sandwich Shops"
Long John Silver's,"Restaurant,Carry-out food,Caterers,Seafood restaurants,Barbecued poultry,American restaurants,Fast Food Restaurants,Barbecue,Spare rib restaurants,Chicken restaurants,Restaurants"
Sonic Drive-In,"Carry-out food,American Restaurants,Hot Dog Stands and Restaurants,Insurance,American restaurants,Fast Food Restaurants,Take Out Restaurants,Chicken Restaurants,Hamburgers and Hot Dogs,Restaurants"
McDonald's,"Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants,Take Out Restaurants"
Pizza Hut,"Carry-out food,Caterers,Restaurant delivery service,Steak and chop restaurants,American restaurants,Take Out Restaurants,Fast Food Restaurants,Home delivery beer and beverages,Family Style Restaurants,Restaurants,Pizza,Barbecued poultry,Pizza Place,Barbecue,Spare rib restaurants,Chicken restaurants"
Taco Bell,"Carry-out food,Mexican,Breakfast,Tex-mex restaurants,Vegetarian,Southwestern restaurants,American restaurants,Mexican restaurants,Fast Food,Restaurants,Mexican Restaurant,Restaurant,Fast Food Restaurant"
